Country,bloc,mm
South Korea,Progressive,0.5353480841878032
South Korea,Independent,0.5512630014858844
South Korea,Conservative,0.5462962962962864
Germany,Left,0.5300084530854056
Germany,Center,0.5345323741007202
Germany,AfD,0.5370473537604458
Taiwan,DPP,0.5178759200841216
Taiwan,TPP,0.519937856033144
Taiwan,KMT,0.5309072781654918
