Country,imp,share
South Korea,1,8.25
South Korea,2,31.55
South Korea,3,43
South Korea,4,17.2
Germany,1,21.32309509746013
Germany,2,40.106320141760186
Germany,3,25.39870053160071
Germany,4,13.171884229178973
Taiwan,1,15.21951219512195
Taiwan,2,50.48780487804878
Taiwan,3,25.121951219512194
Taiwan,4,9.170731707317072
